issueid,STR.REQ,class,label
RE-766,The _MapComponent_ shall support different types of map layers (e.g.  terrain  satellite),1,Requirement
RE-759,The _MissionPlanner_ shall execute flight plans for multiple UAVs concurrently.,1,Requirement
RE-754,The _GCS_ shall transmit the UAV's properties to the _GCSMiddleware_,1,Requirement
RE-751,The _GCS_ shall transmit the UAV's current location to the _GCSMiddleware_,1,Requirement
RE-746,The _GCS_ shall report newly connected UAVs to the _GCSMiddleware_.,1,Requirement
RE-741,The _GCS_ shall assign a message frequency for all UAVs.,1,Requirement
RE-739,When the _GCS_ receives a UAV command from the _GCSMiddleware_  the _GCS_ shall forward the command to the respective UAV.,1,Requirement
RE-736,When the connection to the _GCS_ from the _GCSMiddleware_ is lost  the _GCSMiddleware_ shall notify Dronology and deactivate all associated UAVs.,1,Requirement
RE-729,The _GCSMiddleware_ shall forward commands sent from Dronology to a _GCS_,1,Requirement
RE-722,The _GCSMiddleware_ shall handle state messages   monitoring messages  and mode change messages  received from an _GCS_.,1,Requirement
RE-714,The _GCSMiddleware _ shall follow a predefined set of steps to establish a connection between a _GCS_ and Dronology,1,Requirement
RE-709,The _GCSMiddleware_ shall handle multiple _GCS_,1,Requirement
RE-706,The _DronologyRuntimeMonitor_ shall be able to receive messages from any Dronology component,1,Requirement
RE-702,When a new monitoring message is received the _DronologyRuntimeMonitor_ shall forward the message to all subscribed clients,1,Requirement
RE-701,The _DronologyRuntimeMonitor_ shall provide functionality to retrieve monitoring messages and distribute them to clients,1,Requirement
RE-698,The _RealTimeFlightUI_ shall notify users when an emergency occurs.,1,Requirement
RE-695,The _RealTimeFlightUI_ shall allow users to follow one or multiple UAVs on the map.,1,Requirement
RE-693,The _RealTimeFlightUI_ shall allow users to perform emergency operations (e.g. hovering multiple UAVs  sending multiple UAVs to home) to a group of UAVs,1,Requirement
RE-691,The _RealTimeFlightUI_ shall allow users to apply flight operations to one or more selected UAVs.,1,Requirement
RE-689,The _RealTimeFlightUI_ shall display all currently active flight plans on the map.,1,Requirement
RE-681,The _RealTimeFlightUI_ shall display the name and status of all currently activated UAVs,1,Requirement
RE-679,When the _RouteCreationUI_ is loaded a list of all existing routes shall be displayed.,1,Requirement
RE-677,The _RouteCreationUI_ shall allow a user to delete a route.,1,Requirement
RE-672,The _RouteCreationUI_ shall allow the user to create and modify a route.,1,Requirement
RE-670,When requested  the _RouteCreationUI_ shall send a newly created or modified route to dronology.,1,Requirement
RE-668,Each route shall include a unique ID  a textual description  and a set of waypoints  all of which are editable in the UI.,1,Requirement
RE-666,The _RouteCreationUI_ shall only accept valid altitude and speed values for waypoint.,1,Requirement
RE-664,The _RouteCreationUI_ shall distinguish between starting  ending  and intermediate waypoint markers.,1,Requirement
RE-659,When a user shall cancels a pending flight plan the _RouteAssignmentUI_ shall notify Dronology.,1,Requirement
RE-656,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,1,Requirement
RE-655,When a UAV is selected  the _RouteAssignmentUI_ shall display its active flight plans.,1,Requirement
RE-651,When requested by the user  the _RouteAssignmentUI_ shall display details about the selected UAV and its flight plans.,1,Requirement
RE-649,When a route is assigned or removed from a UAV  the _RouteAssignmentUI_ shall notify Dronology.,1,Requirement
RE-646,The _RouteAssignmentUI_ shall provide means to select an existing routes and assign them to a UAV.,1,Requirement
RE-643,When loading the map view it shall be positioned at the pre-defined location,1,Requirement
RE-642,When the _VaadinUI_ is activated  the _VaadinUI_ shall be configured according to stored configuration parameters.,1,Requirement
RE-639,The _UIMiddleware_ shall accept and activate a mission plan upon request.,1,Requirement
RE-637,The _UIMiddleware_ shall enable an existing route to be assigned to an active UAV.,1,Requirement
RE-634,The _UIMiddleware_ shall enable the creation and modification of flight routes,1,Requirement
RE-630,The _UIMiddleware_ accepts commands from UIs and forwards to Dronology,1,Requirement
RE-628,The _UIMiddleware_ shall provide a list of all existing routes,1,Requirement
RE-626,The _UIMiddleware_ shall provide a list of all active UAVs,1,Requirement
RE-616,The _ActivityLogger_ shall log all commands sent to and messages received from a _CGS_.,1,Requirement
RE-611,The _ActivityLogger_ shall log all flight plan related events.,1,Requirement
RE-597,The _InternalSimulator_ shall approximate the state of the battery,1,Requirement
RE-596,When given a landing command the _InternalSimulator_ shall move the UAV from to the ground altitude corresponding to its current longitude and latitude.,1,Requirement
RE-595,When given a goto command  the _InternalSimulator_ shall update the location of the UAV at increments of {{SIMULATION_STEP_SIZE}} meters  moving it towards the target destination until the destination is reached.,1,Requirement
RE-594,When given a takeoff command the _InternalSimulator_ shall move the UAV to the takeoff altitude corresponding to its current longitude and latitude.,1,Requirement
RE-593,The _InternalSimulator_ shall approximate the behavior of a UAV.,1,Requirement
RE-592,The _UAVRegistrationManager_ shall store UAV meta-data information  such as the UAV's technical characteristics,1,Requirement
RE-589,When the maximum numbers of allowed activated UAVs has been reached  the _UAVActivationManager_ shall reject any further activation requests.,1,Requirement
RE-587,When a UAV is deactivated the _UAVActivationManager_ shall cancel all current and scheduled flight plans,1,Requirement
